attempts,probability,status,block,decryption_level
536,0.76,intercepted,block,advanced
537,0.61,susceptible,attempt,advanced
538,0.7,intercepted,block,advanced
539,0.67,intercepted,block,advanced
540,0.77,intercepted,block,advanced
541,0.58,susceptible,attempt,advanced
542,0.78,intercepted,block,advanced
543,0.67,intercepted,block,advanced
544,0.63,susceptible,attempt,advanced
545,0.74,intercepted,block,advanced
546,0.81,intercepted,block,advanced
547,0.82,intercepted,block,advanced
548,0.66,intercepted,block,advanced
549,0.68,intercepted,block,advanced
550,0.79,intercepted,block,advanced
551,0.7,intercepted,block,advanced
552,0.66,intercepted,block,advanced
553,0.69,intercepted,block,advanced
554,0.61,susceptible,attempt,advanced
555,0.74,intercepted,block,advanced
556,0.8,intercepted,block,advanced
557,0.86,intercepted,block,advanced
558,0.78,intercepted,block,advanced
559,0.65,intercepted,block,advanced
560,0.87,intercepted,block,advanced
561,0.74,intercepted,block,advanced
562,0.71,intercepted,block,advanced
563,0.67,intercepted,block,advanced
564,0.76,intercepted,block,advanced
565,0.73,intercepted,block,advanced
566,0.64,susceptible,attempt,advanced
567,0.77,intercepted,block,advanced
568,0.71,intercepted,block,advanced
569,0.81,intercepted,block,advanced
570,0.72,intercepted,block,advanced
571,0.67,intercepted,block,advanced
572,0.71,intercepted,block,advanced
573,0.8,intercepted,block,advanced
574,0.67,intercepted,block,advanced
575,0.78,intercepted,block,advanced
576,0.73,intercepted,block,advanced
577,0.67,intercepted,block,advanced
578,0.8,intercepted,block,advanced
579,0.79,intercepted,block,advanced
580,0.77,intercepted,block,advanced
581,0.79,intercepted,block,advanced
582,0.73,intercepted,block,advanced
583,0.64,susceptible,attempt,advanced
584,0.65,intercepted,block,advanced
585,0.66,intercepted,block,advanced
586,0.73,intercepted,block,advanced
587,0.76,intercepted,block,advanced
588,0.75,intercepted,block,advanced
589,0.72,intercepted,block,advanced
590,0.67,intercepted,block,advanced
591,0.77,intercepted,block,advanced
592,0.79,intercepted,block,advanced
593,0.73,intercepted,block,advanced
594,0.7,intercepted,block,advanced
595,0.78,intercepted,block,advanced
596,0.74,intercepted,block,advanced
597,0.67,intercepted,block,advanced
598,0.67,intercepted,block,advanced
599,0.72,intercepted,block,advanced
600,0.77,intercepted,block,advanced
601,0.69,intercepted,block,advanced
602,0.62,susceptible,attempt,advanced
603,0.82,intercepted,block,advanced
604,0.7,intercepted,block,advanced
605,0.68,intercepted,block,advanced
606,0.72,intercepted,block,advanced
607,0.85,intercepted,block,advanced
608,0.69,intercepted,block,advanced
609,0.78,intercepted,block,advanced
610,0.69,intercepted,block,advanced
611,0.7,intercepted,block,advanced
612,0.61,susceptible,attempt,advanced
613,0.79,intercepted,block,advanced
614,0.64,susceptible,attempt,advanced
615,0.81,intercepted,block,advanced
616,0.69,intercepted,block,advanced
617,0.75,intercepted,block,advanced
618,0.69,intercepted,block,advanced
619,0.72,intercepted,block,advanced
620,0.73,intercepted,block,advanced
621,0.72,intercepted,block,advanced
622,0.76,intercepted,block,advanced
623,0.68,intercepted,block,advanced
624,0.69,intercepted,block,advanced
625,0.68,intercepted,block,advanced
626,0.72,intercepted,block,advanced
627,0.66,intercepted,block,advanced
628,0.71,intercepted,block,advanced
629,0.8,intercepted,block,advanced
630,0.75,intercepted,block,advanced
631,0.63,susceptible,attempt,advanced
632,0.75,intercepted,block,advanced
633,0.73,intercepted,block,advanced
634,0.74,intercepted,block,advanced
635,0.81,intercepted,block,advanced
636,0.71,intercepted,block,advanced
637,0.78,intercepted,block,advanced
638,0.72,intercepted,block,advanced
639,0.78,intercepted,block,advanced
640,0.82,intercepted,block,advanced
641,0.71,intercepted,block,advanced
642,0.67,intercepted,block,advanced
643,0.72,intercepted,block,advanced
644,0.82,intercepted,block,advanced
645,0.69,intercepted,block,advanced
646,0.79,intercepted,block,advanced
647,0.66,intercepted,block,advanced
648,0.77,intercepted,block,advanced
649,0.7,intercepted,block,advanced
650,0.72,intercepted,block,advanced
651,0.7,intercepted,block,advanced
652,0.71,intercepted,block,advanced
653,0.75,intercepted,block,advanced
654,0.83,intercepted,block,advanced
655,0.76,intercepted,block,advanced
656,0.75,intercepted,block,advanced
657,0.78,intercepted,block,advanced
658,0.72,intercepted,block,advanced
659,0.69,intercepted,block,advanced
660,0.73,intercepted,block,advanced
661,0.74,intercepted,block,advanced
662,0.69,intercepted,block,advanced
663,0.61,susceptible,attempt,advanced
664,0.66,intercepted,block,advanced
665,0.56,susceptible,attempt,advanced
666,0.77,intercepted,block,advanced
667,0.73,intercepted,block,advanced
668,0.76,intercepted,block,advanced
669,0.74,intercepted,block,advanced
670,0.81,intercepted,block,advanced
671,0.69,intercepted,block,advanced
672,0.66,intercepted,block,advanced
673,0.7,intercepted,block,advanced
674,0.73,intercepted,block,advanced
675,0.73,intercepted,block,advanced
676,0.78,intercepted,block,advanced
677,0.7,intercepted,block,advanced
678,0.68,intercepted,block,advanced
679,0.81,intercepted,block,advanced
680,0.72,intercepted,block,advanced
681,0.7,intercepted,block,advanced
682,0.68,intercepted,block,advanced
683,0.74,intercepted,block,advanced
684,0.79,intercepted,block,advanced
685,0.79,intercepted,block,advanced
686,0.75,intercepted,block,advanced
687,0.7,intercepted,block,advanced
688,0.64,susceptible,attempt,advanced
689,0.77,intercepted,block,advanced
690,0.75,intercepted,block,advanced
691,0.77,intercepted,block,advanced
692,0.78,intercepted,block,advanced
693,0.91,intercepted,block,advanced
694,0.74,intercepted,block,advanced
695,0.76,intercepted,block,advanced
696,0.78,intercepted,block,advanced
697,0.84,intercepted,block,advanced
698,0.69,intercepted,block,advanced
699,0.79,intercepted,block,advanced
700,0.8,intercepted,block,advanced
701,0.71,intercepted,block,advanced
702,0.83,intercepted,block,advanced
703,0.81,intercepted,block,advanced
704,0.78,intercepted,block,advanced
705,0.67,intercepted,block,advanced
706,0.77,intercepted,block,advanced
707,0.7,intercepted,block,advanced
708,0.68,intercepted,block,advanced
709,0.79,intercepted,block,advanced
710,0.79,intercepted,block,advanced
711,0.72,intercepted,block,advanced
712,0.73,intercepted,block,advanced
713,0.7,intercepted,block,advanced
714,0.78,intercepted,block,advanced
715,0.79,intercepted,block,advanced
716,0.71,intercepted,block,advanced
717,0.76,intercepted,block,advanced
718,0.66,intercepted,block,advanced
719,0.74,intercepted,block,advanced
720,0.72,intercepted,block,advanced
721,0.62,susceptible,attempt,advanced
722,0.68,intercepted,block,advanced
723,0.68,intercepted,block,advanced
724,0.75,intercepted,block,advanced
725,0.63,susceptible,attempt,advanced
726,0.7,intercepted,block,advanced
727,0.75,intercepted,block,advanced
728,0.83,intercepted,block,advanced
729,0.8,intercepted,block,advanced
730,0.81,intercepted,block,advanced
731,0.79,intercepted,block,advanced
732,0.7,intercepted,block,advanced
733,0.89,intercepted,block,advanced
734,0.75,intercepted,block,advanced
735,0.83,intercepted,block,advanced
736,0.73,intercepted,block,advanced
737,0.71,intercepted,block,advanced
738,0.56,susceptible,attempt,advanced
739,0.69,intercepted,block,advanced
740,0.66,intercepted,block,advanced
741,0.71,intercepted,block,advanced
742,0.76,intercepted,block,advanced
743,0.64,susceptible,attempt,advanced
744,0.65,intercepted,block,advanced
745,0.77,intercepted,block,advanced
746,0.81,intercepted,block,advanced
747,0.81,intercepted,block,advanced
748,0.74,intercepted,block,advanced
749,0.66,intercepted,block,advanced
750,0.7,intercepted,block,advanced
751,0.67,intercepted,block,advanced
752,0.68,intercepted,block,advanced
753,0.73,intercepted,block,advanced
754,0.75,intercepted,block,advanced
755,0.61,susceptible,attempt,advanced
756,0.79,intercepted,block,advanced
757,0.74,intercepted,block,advanced
758,0.62,susceptible,attempt,advanced
759,0.84,intercepted,block,advanced
760,0.75,intercepted,block,advanced
761,0.69,intercepted,block,advanced
762,0.73,intercepted,block,advanced
763,0.78,intercepted,block,advanced
764,0.69,intercepted,block,advanced
765,0.68,intercepted,block,advanced
766,0.78,intercepted,block,advanced
767,0.74,intercepted,block,advanced
768,0.7,intercepted,block,advanced
769,0.74,intercepted,block,advanced
770,0.8,intercepted,block,advanced
771,0.77,intercepted,block,advanced
772,0.74,intercepted,block,advanced
773,0.71,intercepted,block,advanced
774,0.66,intercepted,block,advanced
775,0.83,intercepted,block,advanced
776,0.85,intercepted,block,advanced
777,0.61,susceptible,attempt,advanced
778,0.7,intercepted,block,advanced
779,0.7,intercepted,block,advanced
780,0.73,intercepted,block,advanced
781,0.63,susceptible,attempt,advanced
782,0.8,intercepted,block,advanced
783,0.65,intercepted,block,advanced
784,0.72,intercepted,block,advanced
785,0.66,intercepted,block,advanced
786,0.71,intercepted,block,advanced
787,0.74,intercepted,block,advanced
788,0.77,intercepted,block,advanced
789,0.86,intercepted,block,advanced
790,0.78,intercepted,block,advanced
791,0.7,intercepted,block,advanced
792,0.79,intercepted,block,advanced
793,0.75,intercepted,block,advanced
794,0.77,intercepted,block,advanced
795,0.66,intercepted,block,advanced
796,0.63,susceptible,attempt,advanced
797,0.69,intercepted,block,advanced
798,0.61,susceptible,attempt,advanced
799,0.75,intercepted,block,advanced
800,0.75,intercepted,block,advanced
801,0.72,intercepted,block,advanced
802,0.71,intercepted,block,advanced
803,0.74,intercepted,block,advanced
804,0.7,intercepted,block,advanced
805,0.82,intercepted,block,advanced
806,0.75,intercepted,block,advanced
807,0.69,intercepted,block,advanced
