,iteration,message_status,probability,strategy
621,62,unsuccessful,0.4,no_windtexter
622,62,unsuccessful,0.4,windtexter_baseline
623,62,unsuccessful,0.2,windtexter_baseline
624,62,unsuccessful,0.3,windtexter_baseline
625,62,successful,0.6,windtexter_full
626,62,unsuccessful,0.3,windtexter_full
627,62,unsuccessful,0.4,windtexter_full
628,62,unsuccessful,0.3,windtexter_full
629,62,unsuccessful,0.5,windtexter_full
630,63,unsuccessful,0.1,no_windtexter
631,63,unsuccessful,0.2,no_windtexter
632,63,unsuccessful,0.2,windtexter_baseline
633,63,unsuccessful,0.4,windtexter_baseline
634,63,unsuccessful,0.4,windtexter_baseline
635,63,unsuccessful,0.3,windtexter_full
636,63,unsuccessful,0.4,windtexter_full
637,63,successful,0.8,windtexter_full
638,63,unsuccessful,0.1,windtexter_full
639,63,unsuccessful,0.3,windtexter_full
640,64,successful,0.6,no_windtexter
641,64,unsuccessful,0.5,no_windtexter
642,64,unsuccessful,0.5,windtexter_baseline
643,64,successful,0.7,windtexter_baseline
644,64,unsuccessful,0.1,windtexter_baseline
645,64,unsuccessful,0.2,windtexter_full
646,64,successful,0.6,windtexter_full
647,64,successful,0.7,windtexter_full
648,64,unsuccessful,0.5,windtexter_full
649,64,unsuccessful,0.4,windtexter_full
650,65,successful,0.8,no_windtexter
651,65,successful,0.6,no_windtexter
652,65,unsuccessful,0.5,windtexter_baseline
653,65,unsuccessful,0.1,windtexter_baseline
